Region,Sold to Party Code,Area,Kalender,Channel,Produk,Year,Bln,MT
ICBP,102899,Pt. Icbp - Noodle Cibitung,KI,Industry,25 kg,2022,10,11240.681
ICBP,102899,Pt. Icbp - Noodle Cibitung,KI,Industry,25 kg,2022,11,11530.037
ICBP,102899,Pt. Icbp - Noodle Cibitung,KI,Industry,25 kg,2022,12,12628.617
ICBP,114555,Pt. Icbp - Noodle Cirebon,KI,Industry,25 kg,2022,1,3204.746
ICBP,114555,Pt. Icbp - Noodle Cirebon,KI,Industry,25 kg,2022,2,2185.344
ICBP,114555,Pt. Icbp - Noodle Cirebon,KI,Industry,25 kg,2022,3,2719.692
ICBP,114555,Pt. Icbp - Noodle Cirebon,KI,Industry,25 kg,2022,4,2604.832
ICBP,114555,Pt. Icbp - Noodle Cirebon,KI,Industry,25 kg,2022,5,2030.06
ICBP,114555,Pt. Icbp - Noodle Cirebon,KI,Industry,25 kg,2022,6,2098.761
ICBP,114555,Pt. Icbp - Noodle Cirebon,KI,Industry,25 kg,2022,7,2205.091
ICBP,114555,Pt. Icbp - Noodle Cirebon,KI,Industry,25 kg,2022,8,2344.38
ICBP,114555,Pt. Icbp - Noodle Cirebon,KI,Industry,25 kg,2022,9,2636.83
ICBP,114555,Pt. Icbp - Noodle Cirebon,KI,Industry,25 kg,2022,10,1891.134
ICBP,114555,Pt. Icbp - Noodle Cirebon,KI,Industry,25 kg,2022,11,1974.145
ICBP,114555,Pt. Icbp - Noodle Cirebon,KI,Industry,25 kg,2022,12,2308.199
ICBP,102927,Pt. Icbp - Noodle Jambi,KI,Industry,25 kg,2022,1,1689.495
ICBP,102927,Pt. Icbp - Noodle Jambi,KI,Industry,25 kg,2022,2,973.006
ICBP,102927,Pt. Icbp - Noodle Jambi,KI,Industry,25 kg,2022,3,1074.35
ICBP,102927,Pt. Icbp - Noodle Jambi,KI,Industry,25 kg,2022,4,1083.729
ICBP,102927,Pt. Icbp - Noodle Jambi,KI,Industry,25 kg,2022,5,839.382
ICBP,102927,Pt. Icbp - Noodle Jambi,KI,Industry,25 kg,2022,6,1157.969
ICBP,102927,Pt. Icbp - Noodle Jambi,KI,Industry,25 kg,2022,7,1132.193
ICBP,102927,Pt. Icbp - Noodle Jambi,KI,Industry,25 kg,2022,8,992.694
ICBP,102927,Pt. Icbp - Noodle Jambi,KI,Industry,25 kg,2022,9,1293.309
ICBP,102927,Pt. Icbp - Noodle Jambi,KI,Industry,25 kg,2022,10,963.443
ICBP,102927,Pt. Icbp - Noodle Jambi,KI,Industry,25 kg,2022,11,906.303
ICBP,102927,Pt. Icbp - Noodle Jambi,KI,Industry,25 kg,2022,12,1058.736
ICBP,102896,Pt. Icbp - Noodle Lampung,KI,Industry,25 kg,2022,1,2238.057
ICBP,102896,Pt. Icbp - Noodle Lampung,KI,Industry,25 kg,2022,2,1579.151
ICBP,102896,Pt. Icbp - Noodle Lampung,KI,Industry,25 kg,2022,3,1799.877
ICBP,102896,Pt. Icbp - Noodle Lampung,KI,Industry,25 kg,2022,4,1663.966
ICBP,102896,Pt. Icbp - Noodle Lampung,KI,Industry,25 kg,2022,5,1264.727
ICBP,102896,Pt. Icbp - Noodle Lampung,KI,Industry,25 kg,2022,6,1740.024
ICBP,102896,Pt. Icbp - Noodle Lampung,KI,Industry,25 kg,2022,7,1748.569
ICBP,102896,Pt. Icbp - Noodle Lampung,KI,Industry,25 kg,2022,8,1516.565
ICBP,102896,Pt. Icbp - Noodle Lampung,KI,Industry,25 kg,2022,9,1970.597
ICBP,102896,Pt. Icbp - Noodle Lampung,KI,Industry,25 kg,2022,10,1460.956
ICBP,102896,Pt. Icbp - Noodle Lampung,KI,Industry,25 kg,2022,11,1405.428
ICBP,102896,Pt. Icbp - Noodle Lampung,KI,Industry,25 kg,2022,12,1642.325
ICBP,102893,PT. ICBP - Noodle Makassar,KI,Industry,25 kg,2022,1,5841.152
ICBP,102893,PT. ICBP - Noodle Makassar,KI,Industry,25 kg,2022,2,4387.145
ICBP,102893,PT. ICBP - Noodle Makassar,KI,Industry,25 kg,2022,3,4187.008
ICBP,102893,PT. ICBP - Noodle Makassar,KI,Industry,25 kg,2022,4,4298.778
ICBP,102893,PT. ICBP - Noodle Makassar,KI,Industry,25 kg,2022,5,3173.801
ICBP,102893,PT. ICBP - Noodle Makassar,KI,Industry,25 kg,2022,6,4446.663
ICBP,102893,PT. ICBP - Noodle Makassar,KI,Industry,25 kg,2022,7,4097.99
ICBP,102893,PT. ICBP - Noodle Makassar,KI,Industry,25 kg,2022,8,3746.931
ICBP,102893,PT. ICBP - Noodle Makassar,KI,Industry,25 kg,2022,9,4806.708
ICBP,102893,PT. ICBP - Noodle Makassar,KI,Industry,25 kg,2022,10,3540.669
ICBP,102893,PT. ICBP - Noodle Makassar,KI,Industry,25 kg,2022,11,3381.868
ICBP,102893,PT. ICBP - Noodle Makassar,KI,Industry,25 kg,2022,12,3949.396
ICBP,102895,PT. ICBP - Noodle Manado,KI,Industry,25 kg,2022,1,1999.001
ICBP,102895,PT. ICBP - Noodle Manado,KI,Industry,25 kg,2022,2,988.035
ICBP,102895,PT. ICBP - Noodle Manado,KI,Industry,25 kg,2022,3,1190.602
ICBP,102895,PT. ICBP - Noodle Manado,KI,Industry,25 kg,2022,4,1152.508
ICBP,102895,PT. ICBP - Noodle Manado,KI,Industry,25 kg,2022,5,1000.909
ICBP,102895,PT. ICBP - Noodle Manado,KI,Industry,25 kg,2022,6,1301.95
ICBP,102895,PT. ICBP - Noodle Manado,KI,Industry,25 kg,2022,7,1161.357
ICBP,102895,PT. ICBP - Noodle Manado,KI,Industry,25 kg,2022,8,1119.34
ICBP,102895,PT. ICBP - Noodle Manado,KI,Industry,25 kg,2022,9,1430.069
ICBP,102895,PT. ICBP - Noodle Manado,KI,Industry,25 kg,2022,10,1093.952
ICBP,102895,PT. ICBP - Noodle Manado,KI,Industry,25 kg,2022,11,953.913
ICBP,102895,PT. ICBP - Noodle Manado,KI,Industry,25 kg,2022,12,1116.1
ICBP,102891,Pt. Icbp - Noodle Medan,KI,Industry,25 kg,2022,1,7092.251
ICBP,102891,Pt. Icbp - Noodle Medan,KI,Industry,25 kg,2022,2,4574.503
ICBP,102891,Pt. Icbp - Noodle Medan,KI,Industry,25 kg,2022,3,5005.461
